Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	51	22420	22
1	52	2777	2
1	53	3568	3
1	54	790	0
1	55	17853	17
1	56	2586	2
1	57	18788	18
1	58	25722	25
1	59	23307	23
1	60	3994	3
1	61	22496	22
1	62	23077	23
1	63	966	0
1	64	15518	15
1	65	15350	15
1	66	22429	22
1	67	4677	4
1	68	1622	1
1	69	27645	27
1	70	27387	27
1	71	3229	3
1	72	13406	13
1	73	3152	3
1	74	14133	14
1	75	3679	3
1	76	28095	28
1	77	4303	4
1	78	3469	3
1	79	26426	26
1	80	1099	1
1	81	14093	14
1	82	2876	2
1	83	2541	2
1	84	18627	18
1	85	27335	27
1	86	2941	2
1	87	3611	3
1	88	24173	24
1	89	23578	23
1	90	1452	1
1	91	2780	2
1	92	26132	26
1	93	4654	4
1	94	3655	3
1	95	557	0
1	96	490	0
1	97	17592	17
1	98	5178	5
1	99	24439	24
1	100	12721	12
1	101	2860	2
1	102	18318	18
1	103	28303	28
1	104	3016	3
1	105	16642	16
1	106	23633	23
1	107	25725	25
1	108	22767	22
1	109	17718	17
1	110	18400	18
1	111	24683	24
1	112	5106	5
1	113	5199	5
1	114	22599	22
1	115	17650	17
1	116	1845	1
1	117	540	0
1	118	18243	18
1	119	17712	17
1	120	5405	5
1	121	18982	18
1	122	23417	23
1	123	1515	1
1	124	20762	20
1	125	2113	2
1	126	24301	24
1	127	17873	17
1	128	13327	13
1	129	18485	18
1	130	1217	1
1	131	13617	13
1	132	4380	4
1	133	23594	23
1	134	24400	24
1	135	22885	22
1	136	13532	13
1	137	26265	26
1	138	21921	21
1	139	2999	2
1	140	4549	4
1	141	28520	28
1	142	14474	14
1	143	26364	26
1	144	23183	23
1	145	3789	3
1	146	23839	23
1	147	3808	3
1	148	2345	2
1	149	22232	22
1	150	14786	14
1	151	23653	23
1	152	3669	3
1	153	19039	19
1	154	18735	18
1	155	1918	1
1	156	1398	1
1	157	3528	3
1	158	363	0
1	159	298	0
1	160	309	0
1	161	23454	23
1	162	13387	13
1	163	2855	2
1	164	17396	17
1	165	968	0
1	166	4427	4
1	167	23908	23
1	168	23736	23
1	169	4595	4
1	170	4116	4
1	171	23315	23
1	172	23536	23
1	173	14290	14
1	174	5044	5
1	175	2142	2
1	176	16295	16
1	177	525	0
1	178	22561	22
1	179	3929	3
1	180	26287	26
1	181	3285	3
1	182	20215	20
1	183	12610	12
1	184	675	0
1	185	694	0
1	186	3178	3
1	187	2022	2
1	188	1107	1
1	189	12674	12
1	190	23477	23
1	191	23196	23
1	192	4955	4
1	193	12492	12
1	194	22183	22
1	195	17446	17
1	196	1898	1
1	197	21783	21
1	198	15102	15
1	199	26160	26
1	200	22442	22
1	201	2896	2
1	202	2721	2
1	203	4913	4
1	204	23775	23
1	205	3307	3
1	206	4182	4
1	207	1843	1
1	208	1359	1
1	209	24399	24
1	210	3314	3
1	211	12835	12
1	212	1450	1
1	213	4000	4
1	214	976	0
1	215	20203	20
1	216	20187	20
1	217	5600	5
1	218	18318	18
1	219	18536	18
1	220	14749	14
1	221	19197	19
1	222	17826	17
1	223	1696	1
1	224	5550	5
1	225	23457	23
1	226	17771	17
1	227	24999	24
1	228	732	0
1	229	18267	18
1	230	25801	25
1	231	23022	23
1	232	24244	24
1	233	23433	23
1	234	2788	2
1	235	19708	19
1	236	4329	4
1	237	3272	3
1	238	26149	26
1	239	18441	18
1	240	3828	3
1	241	24289	24
1	242	18479	18
1	243	4019	4
1	244	18556	18
1	245	3430	3
1	246	26315	26
1	247	4307	4
1	248	5670	5
1	249	27943	27
1	250	3082	3
1	251	17903	17
1	252	18203	18
1	253	5427	5
1	254	18151	18
1	255	12281	12
1	256	18304	18
1	257	13136	13
1	258	23951	23
1	259	23445	23
1	260	1700	1
1	261	24899	24
1	262	25489	25
1	263	2885	2
1	264	14091	14
1	265	23019	23
1	266	1473	1
1	267	15600	15
1	268	1817	1
1	269	2782	2
1	270	18098	18
1	271	24642	24
1	272	5594	5
1	273	1896	1
1	274	13228	13
1	275	2999	2
1	276	12937	12
1	277	27325	27
1	278	3807	3
1	279	761	0
1	280	2002	2
1	281	23637	23
1	282	1291	1
1	283	24316	24
1	284	4183	4
1	285	3971	3
1	286	22529	22
1	287	17869	17
1	288	14894	14
1	289	24171	24
1	290	22864	22
1	291	18477	18
1	292	12242	12
1	293	23048	23
1	294	5995	5
1	295	26771	26
1	296	18534	18
1	297	24000	24
1	298	23207	23
1	299	1578	1
1	300	23533	23
1	301	27246	27
1	302	24397	24
1	303	24137	24
1	304	23116	23
1	305	3773	3
1	306	3115	3
1	307	27937	27
1	308	4187	4
1	309	1530	1
1	310	23274	23
1	311	2875	2
1	312	25683	25
1	313	300	0
1	314	309	0
1	315	292	0
1	316	299	0
1	317	2010	2
1	318	26453	26
1	319	17973	17
1	320	4564	4
1	321	1633	1
1	322	23122	23
1	323	23051	23
1	324	27899	27
1	325	1887	1
1	326	3893	3
1	327	18232	18
1	328	1097	1
1	329	22693	22
1	330	26367	26
1	331	4647	4
1	332	2094	2
1	333	13110	13
1	334	22598	22
1	335	993	0
1	336	22869	22
1	337	24422	24
1	338	2779	2
1	339	13174	13
1	340	4643	4
1	341	1921	1
1	342	14163	14
1	343	18818	18
1	344	4814	4
1	345	1895	1
